path,size,category,recommended_action,scientific_role,tracked_equivalent,hash_reference,reason
project_wide_synthesis/10_merge_split_decision/post_stage04_merge_split_decision_tree.json,2616,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/Stage00_03_Key_Facts_and_Evidence_Index.json;manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_evidence_delta.json,3828,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_delta_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_final_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_project_wide_delta_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_failure_delta.json,1575,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_delta_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_final_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_project_wide_delta_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_innovation_delta.json,2440,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_delta_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_final_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_project_wide_delta_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_status_delta.json,6574,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical evidence,,manifest:project_wide_synthesis/11_stage04_update_interface/stage04_completed_delta/stage04_delta_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_final_manifest.json;manifest:stage_04_Local_Causal_Dynamic_Training/09_manifests/stage04cs_project_wide_delta_manifest.json,Payload identity is already preserved by an authoritative tracked manifest.
project_wide_synthesis/11_stage04_update_interface/stage04_evidence_import_schema.json,951,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,qualification/configuration definition,,manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,"Small definition, policy, schema, gate, or design record controls scientific interpretation."
project_wide_synthesis/13_manifests/build_overlap_workbook.mjs,6310,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,source or figure-generation script,,manifest:project_wide_synthesis/13_manifests/project_wide_synthesis_final_manifest.json,Executable project logic is small and has direct reproducibility value.
publication/verification_first_dynamic_neural_sph_v0_1/10_manifests/fontconfig_p1.xml,789,HISTORICAL_EVIDENCE_ONLY,KEEP_EXTERNAL_PRESERVE_HASH_REFERENCE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,manifested historical artifact,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json;manifest:publication/verification_first_dynamic_neural_sph_v0_1/10_manifests/publication_p1_final_manifest.json,Artifact identity is preserved by a tracked manifest.
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/direct_competitor_matrix.xlsx.inspect.ndjson,138171,GENERATED_ARTIFACT,REGENERATE_OR_ARCHIVE_OUTSIDE_GIT;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,inspection/preview output,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json;manifest:publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/manifests/publication_p2_final_manifest.json,Derived inspection or preview output is reproducible presentation tooling output.
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/xlsx_preview/field_guide.png,184032,LITERATURE_REFERENCE,KEEP_EXTERNAL_DO_NOT_REDISTRIBUTE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,literature/reference copy,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json,Reference literature may be copyright-restricted and is not project source.
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/xlsx_preview/full_matrix.png,224139,LITERATURE_REFERENCE,KEEP_EXTERNAL_DO_NOT_REDISTRIBUTE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,literature/reference copy,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json,Reference literature may be copyright-restricted and is not project source.
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/direct_competitors/xlsx_preview/positioning.png,250371,LITERATURE_REFERENCE,KEEP_EXTERNAL_DO_NOT_REDISTRIBUTE;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,literature/reference copy,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json,Reference literature may be copyright-restricted and is not project source.
publication/verification_first_dynamic_neural_sph_v0_1/11_literature_verification/manifests/build_direct_competitor_xlsx.mjs,6979,SHOULD_TRACK,STAGED_FOR_IDENTITY_REVIEWED_COMMIT,source or figure-generation script,,manifest:project_wide_synthesis/00_freeze/project_wide_input_freeze_manifest.json,Executable project logic is small and has direct reproducibility value.
publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.pdf,49634,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/graphical_abstract.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.png,311620,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/graphical_abstract.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/01_graphical_abstract/graphical_abstract.svg,83021,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/graphical_abstract.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.pdf,60819,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig01_framework.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.png,791187,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig01_framework.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/02_fig01_framework/fig01_framework.svg,108626,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig01_framework.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.pdf,75056,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig02_architecture.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.png,639367,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig02_architecture.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/03_fig02_architecture/fig02_architecture.svg,112972,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig02_architecture.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.pdf,77663,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig03_verification.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.png,1555819,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig03_verification.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/04_fig03_verification/fig03_verification.svg,333626,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig03_verification.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.pdf,171504,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig04_failed_learning_routes.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.png,1126573,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig04_failed_learning_routes.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/05_fig04_failed_learning_routes/fig04_failed_learning_routes.svg,977292,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig04_failed_learning_routes.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.pdf,65882,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig05_discrete_defect.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.png,861822,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig05_discrete_defect.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/06_fig05_discrete_defect/fig05_discrete_defect.svg,136260,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig05_discrete_defect.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.pdf,65599,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig06_optimizer_qualification.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.png,1092493,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig06_optimizer_qualification.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/07_fig06_optimizer_qualification/fig06_optimizer_qualification.svg,110780,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig06_optimizer_qualification.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf,161187,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig07_formal_training_v1.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png,1273116,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig07_formal_training_v1.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg,483250,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig07_formal_training_v1.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.pdf,188516,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig08_heterogeneous_retraining.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.png,1173875,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig08_heterogeneous_retraining.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/09_fig08_heterogeneous_retraining/fig08_heterogeneous_retraining.svg,561201,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig08_heterogeneous_retraining.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/10_fig09_support_gap/fig09_support_gap.pdf,105130,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig09_support_gap.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/10_fig09_support_gap/fig09_support_gap.png,1343727,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig09_support_gap.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/10_fig09_support_gap/fig09_support_gap.svg,417784,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig09_support_gap.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/11_fig10_systematic_coverage/fig10_systematic_coverage.pdf,71065,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig10_systematic_coverage.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/11_fig10_systematic_coverage/fig10_systematic_coverage.png,1120419,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig10_systematic_coverage.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/11_fig10_systematic_coverage/fig10_systematic_coverage.svg,155222,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/main/fig10_systematic_coverage.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/12_supplementary/S01_operator_checks/figS01_operator_checks.pdf,64913,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/supplementary/figS01_operator_checks.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/12_supplementary/S01_operator_checks/figS01_operator_checks.png,687480,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/supplementary/figS01_operator_checks.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/12_supplementary/S01_operator_checks/figS01_operator_checks.svg,103463,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/supplementary/figS01_operator_checks.svg,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/12_supplementary/S02_resource_gc/figS02_resource_gc.pdf,47695,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/supplementary/figS02_resource_gc.pdf,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
publication_cmame_v1/04_figures/12_supplementary/S02_resource_gc/figS02_resource_gc.png,552140,DUPLICATE,KEEP_CANONICAL_TRACKED_COPY;LOCAL_EXACT_PATH_EXCLUDE_APPLIED,duplicate artifact,publication_cmame_v1/04_figures/14_exports/supplementary/figS02_resource_gc.png,manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.csv;manifest:publication_cmame_v1/04_figures/14_exports/figure_files_manifest.json,SHA256 is identical to an already tracked file.
