figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600612/run_summary.json,sha256:96e252ecb06fc12f098413143c6b8fb9e26e8b3c40a74c8ed41b1a631a5ea167,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D2_seed20600613.jsonl,sha256:8a6603a12c1c446bc3d02df2694cd67eceb685904da368607c018716827bbe61,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D2_seed20600613.jsonl,sha256:e428d43a788822a332b0b652557099e1fbb9dfef4ee6bc0545135226634db341,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D2_seed20600613/run_summary.json,sha256:3eb09923362f70b442573d50eafc58bb50fc126564a20ba6cea6fd5b3b609337,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600611.jsonl,sha256:2da7d52bd35719cc89165a39e436cfad7cfb74554c0d0a823a2db9b7abaadad3,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600611.jsonl,sha256:1c17aa9b39b249ccf655933ed65a2039d3bd9b04966931f35485c81f17864bbf,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600611/run_summary.json,sha256:60dcb537c3327b3b20421fe163d1bd60bc7b45bd5f46e7b073e1f34bd80d9e44,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600612.jsonl,sha256:e63c0a8cb9cc5b59e0f3bfaf8f0b0c7e290b1c1be5bf4b08649b70a1ee1933c8,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600612.jsonl,sha256:cdc1e3b524f9ad00e00a7b07a66417eaed345d70f97c49f146ca057b8bc55000,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600612/run_summary.json,sha256:279750f754c872953e1948d55e2f4ad39ee773a51b816adb2417ffb20d0ac515,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen TRAIN trajectory is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/training_histories/D3_seed20600613.jsonl,sha256:fcd0fcbd108e00a9bf46190273e0698882c9e741c46d88d5b4f231e4f8422dca,update/Q_def/L_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen scheduled validation evaluation is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/validation_histories/D3_seed20600613.jsonl,sha256:62afc3e9163ff389300dc726427b8722da10a903c33285ec4f43bd92f4e8b1e0,update/TRAIN.global_balanced_Q_def/VALIDATION.global_balanced_Q_def/per_lineage_Q_def,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,"a--f,h",Every frozen terminal run and selected checkpoint is included.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/runs/D3_seed20600613/run_summary.json,sha256:b1e5d751bcafbd5e8aee8b5715a690704bfc39b8f1aafffbb66f0f8098c533be,selected_update/selected_metrics/seed_pass/terminal_reason,NEGATIVE_CONFIRMATORY,Raw rows in stored order; no seed or run omitted.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,g,None of the complete 590-checkpoint inventory passed the TRAIN gate.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/checkpoint_trajectory/all_590_checkpoint_metrics.jsonl,sha256:20659f95663dd9662d2053207bddd84b87b82dc5e1fd1eeb839bb880052a60f0,inventory_index/arm/TRAIN_Q_def,NEGATIVE_CONFIRMATORY,All rows plotted in frozen inventory order with preregistered Q=0.50 line.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
Figure 7,h,All nine formal runs executed and all arms finished at 0/3 seed passes.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06c/results/stage06c_results.json,sha256:bb435ed1ab25327d0be0839b3a1998b38cbd58c3cb3fa918425e545155e7e1af,run_count/arm results/seed passes,NEGATIVE_CONFIRMATORY,Frozen terminal verdict cards.,publication_cmame_v1/04_figures/00_style/build_main_figures.py,publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.svg;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.pdf;publication_cmame_v1/04_figures/08_fig07_formal_training_v1/fig07_formal_training_v1.png
